n_bases,dtype,loss_min,loss_median,loss_max,near_exact_min,near_exact_median,near_exact_max,num_seeds
2,complex128,1.5430550714430534e-30,1.5430550714430534e-30,1.5430550714430534e-30,1.0,1.0,1.0,1
3,complex128,3.9550897337936275e-30,0.025624609498141826,0.0655924656816584,0.0,1.5,3.0,6
4,complex128,0.05124921899628364,0.051249218996283666,0.2619487077142733,0.0,3.0,3.0,6
5,complex128,0.3596367784679414,0.4829480451956043,0.66323913281212,0.0,0.0,0.0,6
6,complex128,0.8685321046831177,0.9659325022155344,1.1731797306431582,0.0,0.0,0.0,21
7,complex128,1.5844721331309435,1.5844721331309435,1.5844721331309435,0.0,0.0,0.0,1
3,complex64,3.5638159090467525e-13,8.208989044078407e-13,0.05124921351671219,0.0,3.0,3.0,5
4,complex64,0.05124921351671219,0.05124922841787338,0.21223220229148865,0.0,0.0,3.0,5
5,complex64,0.35963666439056396,0.35963988304138184,0.5574746131896973,0.0,0.0,0.0,5
6,complex64,0.8685318827629089,0.8685320615768433,0.868532121181488,0.0,0.0,0.0,5
